Genus,Species,Code,NFI_CODE,den0,rel1,unc1,cod1,rel2,unc2,cod2,rel3,unc3,cod3,rel4,unc4,cod4
Nyssa,aquatica,NYAQ,NYSS_AQU,0.46,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Nyssa,ogeche,NYOG,NYSS_OGE,0.46,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Nyssa,sylvatica,NYSY,NYSS_SYL,0.46,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Olneya,tesota,OLTE,OLNE_TES,1,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Ostrya,virginiana,OSVI,OSTR_VIR,0.63,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Oxydendrum,arboreum,OXAR,OXYD_ARB,0.5,1.04,0.104,B,0.877,0.043,B,0.714,0.084,B,0.525,0.223,C
Paulownia,tomentosa,PATO,PAUL_TOM,0.38,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Persea,borbonia,PEBO,PERS_BOR,0.51,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Picea,abies,PIAB,PICE_ABI,0.37,1.01,0.083,A,1.01,0.04,A,0.991,0.159,B,0.605,0.218,C
Picea,breweriana,PIBR,PICE_BRE,0.33,1.038,0.074,B,0.987,0.27,B,0.991,0.159,B,0.605,0.218,C
Picea,engelmannii,PIEN,PICE_ENG,0.33,0.953,0.068,B,0.899,0.021,B,0.991,0.159,B,0.504,0.213,C
Picea,glauca,PIGL2,PICE_GLA,0.37,1.038,0.074,B,0.987,0.27,B,0.991,0.159,B,0.605,0.218,C
Picea,lutzii,PILU,PICE_LUT,0.36,1.06,0.02,A,1.06,0.02,A,1.11,0.04,A,0.564,0.213,C
Picea,mariana,PIMA,PICE_MAR,0.38,1.038,0.074,B,0.987,0.27,B,0.991,0.159,B,0.605,0.218,C
Picea,pungens,PIPU,PICE_PUN,0.38,1.038,0.074,B,0.987,0.27,B,0.991,0.159,B,0.605,0.218,C
Picea,rubens,PIRU,PICE_RUB,0.38,1.04,0.058,B,0.987,0.27,B,1.107,0.107,B,0.605,0.218,C
Picea,sitchensis,PISI,PICE_SIT,0.37,1.04,0.013,B,0.998,0.022,B,0.984,0.055,B,0.676,0.213,C
Picea,species,PICE,PICE_SPE,0.38,1.038,0.074,B,0.987,0.27,B,0.991,0.159,B,0.605,0.218,C
Pinus,albicaulis,PIAL,PINU_ALB,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,aristata,PIAR,PINU_ARI,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,arizonica,PIAR2,PINU_ARI,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,attenuata,PIAT,PINU_ATT,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,balfouriana,PIBA,PINU_BAL,0.37,0.916,0.061,A,0.876,0.095,A,1.018,0.155,A,0.598,0.215,C
Pinus,banksiana,PIBA2,PINU_BAN,0.42,0.953,0.04,A,0.92,0.03,A,0.78,0.091,A,0.598,0.215,C
Pinus,clausa,PICL,PINU_CLA,0.46,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,contorta,PICO,PINU_CON,0.4,0.98,0.01,A,1.04,0.03,A,1.02,0.01,A,0.727,0.213,C
Pinus,coulteri,PICO2,PINU_COU,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,discolor,PIDI,PINU_DIS,0.5,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,echinata,PIEC,PINU_ECH,0.47,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,edulis,PIED,PINU_EDU,0.5,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,elliotti,PIEL,PINU_ELL,0.54,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,engelmannii,PIEN2,PINU_ENG,0.37,0.953,0.057,B,0.95,0.075,B,0.991,0.089,B,0.598,0.215,C
Pinus,flexilis,PIFL,PINU_FLE,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,glabra,PIGL,PINU_GLA,0.41,1.038,0.062,B,0.987,0.078,B,0.991,0.095,B,0.605,0.215,C
Pinus,jeffreyi,PIJE,PINU_JEF,0.37,0.904,0.025,B,0.96,0.037,B,0.883,0.062,B,0.645,0.214,C
Pinus,lambertiana,PILA,PINU_LAM,0.34,1.04,0.038,B,0.906,0.014,B,0.735,0.054,B,0.517,0.213,C
Pinus,leiophylla,PILE,PINU_LEI,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,monophylla,PIMO,PINU_MON,0.5,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
Pinus,monticola,PIMO3,PINU_MON,0.35,1.022,0.012,B,0.996,0.015,B,1.17,0.055,B,0.598,0.215,C
Pinus,muricata,PIMU,PINU_MUR,0.37,0.953,0.057,B,0.95,0.075,B,0.927,0.091,B,0.598,0.215,C
